"uf";"nome_munic";"populacao"
"TO";"Colinas do Tocantins";35851
"TO";"Combinado";4861
"TO";"Conceição do Tocantins";4087
"TO";"Couto Magalhães";5639
"TO";"Cristalândia";7278
"TO";"Crixás do Tocantins";1735
"TO";"Darcinópolis";6174
"TO";"Dianópolis";22424
"TO";"Divinópolis do Tocantins";6943
"TO";"Dois Irmãos do Tocantins";7185
"TO";"Dueré";4686
"TO";"Esperantina";11139
"TO";"Fátima";3830
"TO";"Figueirópolis";5243
"TO";"Filadélfia";8874
"TO";"Formoso do Araguaia";18399
"TO";"Tabocão";2602
"TO";"Goianorte";5130
"TO";"Goiatins";13095
"TO";"Guaraí";26165
"TO";"Gurupi";87545
"TO";"Ipueiras";2052
"TO";"Itacajá";7452
"TO";"Itaguatins";5832
"TO";"Itapiratins";3795
"TO";"Itaporã do Tocantins";2420
"TO";"Jaú do Tocantins";3878
"TO";"Juarina";2184
"TO";"Lagoa da Confusão";13676
"TO";"Lagoa do Tocantins";4393
"TO";"Lajeado";3167
"TO";"Lavandeira";1954
"TO";"Lizarda";3733
"TO";"Luzinópolis";3154
"TO";"Marianópolis do Tocantins";5254
"TO";"Mateiros";2729
"TO";"Maurilândia do Tocantins";3448
"TO";"Miracema do Tocantins";17936
"TO";"Miranorte";13493
"TO";"Monte do Carmo";8066
"TO";"Monte Santo do Tocantins";2295
"TO";"Palmeiras do Tocantins";6745
"TO";"Muricilândia";3587
"TO";"Natividade";9250
"TO";"Nazaré";3834
"TO";"Nova Olinda";11917
"TO";"Nova Rosalândia";4304
"TO";"Novo Acordo";4397
"TO";"Novo Alegre";2332
"TO";"Novo Jardim";2745
"TO";"Oliveira de Fátima";1118
"TO";"Palmeirante";6131
"TO";"Palmeirópolis";7676
"TO";"Paraíso do Tocantins";51891
"TO";"Paranã";10437
"TO";"Pau D'Arco";4867
"TO";"Pedro Afonso";13773
"TO";"Peixe";11873
"TO";"Pequizeiro";5512
"TO";"Colméia";8141
"TO";"Pindorama do Tocantins";4430
